	context	question-X	canquestion-X	answer-Y	judgements	goldstandard1	goldstandard2	Label	Annotation_1	Annotation_2	Annotation_3	Annotation_4	Annotation_5
323	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you remember where we used to hang out?	I remember where we used to hang out .	It was such a long time ago.	No#In the middle, neither yes nor no#Probably no#Probably no#No		No	2	2	4	2	2	2
324	X wants to know about Y's music preferences.	Do you like rock and roll music?	I like rock and roll music .	I put it on when I need to get up and get moving.	Probably yes / sometimes yes#Yes, subject to some conditions#Probably yes / sometimes yes#Yes, subject to some conditions#Yes		Yes	1	1	3	1	3	1
325	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any plans for the weekend?	I have plans for the weekend .	I'm going to the movies.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
326	Y has just told X that he/she is considering switching his/her job.	Did you work in tech?	I did work in tech .	I was in on the ground floor of Amazon.	Yes#Yes#No#Yes#Yes	Yes	Yes	1	1	1	2	1	1
327	X and Y are colleagues who are leaving work on a Friday at the same time.	Are you going to a show this weekend?	I am going to a show this weekend .	Not this weekend	No#No#No#No#No	No	No	2	2	2	2	2	2
328	X wants to know what activities Y likes to do during weekends.	Would you be interested in cultural events in the area?	I would be interested in cultural events in the area .	I am not really a fan of the arts.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
329	Y has just told X that he/she is considering switching his/her job.	Are you getting any benefits?	I am getting benefits .	I get a good few	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
330	X wants to know about Y's food preferences.	Do you prefer casual dining?	I prefer casual dining .	High-end dining is the most fun.	No#Probably no#No#Probably no#No	No	No	2	2	2	2	2	2
331	Y has just told X that he/she is considering switching his/her job.	It is about the pay?	It is about the pay .	The pay at my current job is not so good, that is why I'm looking.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
332	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Did you grow up in this city?	I did grow up in this city .	I grew up in Los Angeles.	No#No#No#No#No	No	No	2	2	2	2	2	2
333	Y has just told X that he/she is thinking of buying a flat in New York.	Do you want to stay in this neighborhood?	I want to stay in this neighborhood .	This or Brooklyn.	Probably yes / sometimes yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer	Probably yes / sometimes yes	Yes	1	1	1	1	1	4
334	X wants to know what activities Y likes to do during weekends.	Do you ever go hanging out at the local bar?	I go hanging out at the local bar .	Drinking is not my cup of tea.	No#No#No#No#No	No	No	2	2	2	2	2	2
335	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Can we catch up?	We can catch up .	I don't have time right now.	No#No#No#No#No	No	No	2	2	2	2	2	2
336	X wants to know about Y's music preferences.	Do you want to try some borscht with me?	I want to try borscht with me .	I'd rather listen to some Maroon 5.	Probably no#Probably no#No#No#No	No	No	2	2	2	2	2	2
337	X wants to know what activities Y likes to do during weekends.	Are you interested in arts?	I am interested in arts .	I support anything creative.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
338	X wants to know about Y's music preferences.	Would you enjoy a jazz concert?	I would enjoy a jazz concert .	I prefer rock.	Probably no#No#Probably no#Probably no#No	Probably no	No	2	2	2	2	2	2
339	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you like beets?	I like beets .	Beets don't taste very good.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
340	Y has just travelled from a different city to meet X.	Are you ready to go out for dinner?	I am ready to go out for dinner .	I was ready an hour ago.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
341	Y has just travelled from a different city to meet X.	Did you get a new haircut?	I did get a new haircut .	I did it myself	Yes, subject to some conditions#Yes#Yes#Yes#Yes	Yes	Yes	1	3	1	1	1	1
342	X wants to know what activities Y likes to do during weekends.	Do you know about that band coming to town?	I know about that band coming to town .	I saw it on Facebook.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
343	Y has just told X that he/she is thinking of buying a flat in New York.	Are you going to get a place close to where you work?	I am going to get a place close to where I work .	I'm so close to the subway it doesn't matter much.	Probably no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	2	4	4	4	4
344	X wants to know what activities Y likes to do during weekends.	Do you follow the local sports teams?	I follow the local sports teams .	Depends on the sport.	Probably yes / sometimes yes#Probably yes / sometimes yes#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	1	1	3	3	3
345	Y has just told X that he/she is considering switching his/her job.	Is it a better paid job?	It is a better paid job .	I think it's twice as much.	Yes#Probably yes / sometimes yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
346	X wants to know about Y's food preferences.	Are you vegan/vegetarian?	I am vegan/vegetarian .	I gave up meat years ago.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
347	Y has just travelled from a different city to meet X.	Do you want to head straight home?	I want to head straight home .	I could take a detour.	No#Probably no#Probably no#In the middle, neither yes nor no#No		No	2	2	2	2	4	2
348	Y has just told X that he/she is thinking of buying a flat in New York.	Are there any bedrooms?	There am bedrooms .	It has two bedrooms.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
349	X wants to know what sorts of books Y likes to read.	Have you ever read horror novel books?	I have read horror novel books .	I prefer funny books	Probably no#In the middle, neither yes nor no#In the middle, neither yes nor no#Probably no#No		No	2	2	4	4	2	2
350	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want to go for a drink in the local pub ?	I want to go for a drink in the local pub .	I don't drink.	No#No#No#No#No	No	No	2	2	2	2	2	2
351	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you ever see any other of our old childhood friends?	I see other of our old childhood friends .	I've only kept in touch with a few.	Yes#Yes, subject to some conditions#Yes#Yes#Yes	Yes	Yes	1	1	3	1	1	1
352	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you liking it around here so far?	I am liking it around here so far .	it seems really nice	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
353	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you like whiskey?	I like whiskey .	My favourite brand is Bulleit.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
354	X wants to know about Y's food preferences.	Do you spend a lot on food?	I spend a lot on food .	It takes up most of my budget.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
355	Y has just travelled from a different city to meet X.	Would you like pizza tonight?	I would like pizza tonight .	Let's go for sushi instead.	No#No#No#No#No	No	No	2	2	2	2	2	2
356	X wants to know about Y's food preferences.	Do you like to eat fast food?	I like to eat fast food .	It's the best.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
357	Y has just travelled from a different city to meet X.	Want to eat at a restaurant?	I want to eat at a restaurant .	I would love to not cook today.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
358	X wants to know about Y's music preferences.	Do you enjoy festivals?	I enjoy festivals .	They're too crowded for me.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
359	X and Y are colleagues who are leaving work on a Friday at the same time.	So, do you have plans for this weekend?	I do I have plans for this weekend .	I will be very busy preparing for the holidays.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
360	X wants to know about Y's food preferences.	Are you in the mood for ramen?	I am in the mood for ramen .	I could go for some Pho.	Probably no#In the middle, neither yes nor no#I am not sure how X will interpret Y’s answer#I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes		In the middle, neither yes nor no	4	2	4	4	4	1
361	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Have you gone back to our hometown this year?	I have gone back to our hometown this year .	I haven't had the time.	No#No#No#No#No	No	No	2	2	2	2	2	2
362	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any big plans for the weekend?	I have big plans for the weekend .	I might go hiking	Probably yes / sometimes yes#Probably no#Yes#Probably yes / sometimes yes#Yes		Yes	1	1	2	1	1	1
363	X and Y are colleagues who are leaving work on a Friday at the same time.	Did you have a good week at work?	I did have a good week at work .	I feel great.	Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
364	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you live around here?	I live around here .	I'm living about two hours from here.	No#No#No#No#No	No	No	2	2	2	2	2	2
365	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like to work out?	I like to work out .	Every weekend I do	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
366	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Have you started driving?	I have started driving .	I learned a stick shift last year.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
367	Y has just told X that he/she is considering switching his/her job.	Would you need to earn more money?	I would need to earn more money .	I always need to earn more money.	Probably yes / sometimes yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
368	X wants to know about Y's music preferences.	Have you been to warped tour?	I have been to warped tour .	I don't go to many music festivals.	Probably no#Probably no#Probably no#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
369	Y has just travelled from a different city to meet X.	Can I help you with your stuff?	You can help I with my stuff .	I could use a hand.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
370	X wants to know what activities Y likes to do during weekends.	Are you into football?	I am into football .	I love football	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
371	Y has just travelled from a different city to meet X.	Did you stop anywhere on the way?	I did stop anywhere on the way .	We haven't stopped yet.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
372	X wants to know about Y's music preferences.	Do you like rock and roll music?	I like rock and roll music .	It's good to listen to on headphones.	Yes#Yes, subject to some conditions#Yes, subject to some conditions#Probably yes / sometimes yes#Yes		Yes	1	1	3	3	1	1
373	X and Y are colleagues who are leaving work on a Friday at the same time.	Have you seen that new movie?	I have seen that new movie .	I did, the ending was really good.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
374	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you from this city?	I am from this city .	I grew up here.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
375	Y has just told X that he/she is considering switching his/her job.	Do you have to work a lot of overtime?	I have to work a lot of overtime .	I only work 40 hours.	No#No#No#No#No	No	No	2	2	2	2	2	2
376	X wants to know what sorts of books Y likes to read.	Did you read Lord of the Rings?	I did read Lord of the Rings .	I've never had a chance to read it.	No#No#No#No#No	No	No	2	2	2	2	2	2
377	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you live around here now?	I live around here now .	I have travelled from afar today.	No#Probably no#No#No#No	No	No	2	2	2	2	2	2
378	X wants to know what sorts of books Y likes to read.	Do you like suspenseful books?	I like suspenseful books .	I prefer other types of book	Probably no#No#No#No#Probably no	No	No	2	2	2	2	2	2
379	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have family in the area?	I have family in the area .	My family lives across the country.	No#No#No#No#No	No	No	2	2	2	2	2	2
380	X wants to know what activities Y likes to do during weekends.	Do you have any pets?	I have pets .	My cat just turned one year old.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
381	Y has just told X that he/she is thinking of buying a flat in New York.	Can we stay with you when we visit?	We can stay with I when we visit .	My apartment is too small.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
382	X wants to know what activities Y likes to do during weekends.	do you like fancy food?	I like fancy food .	French food if quite the treat.	Yes#Probably yes / sometimes yes#Yes#Yes, subject to some conditions#Probably yes / sometimes yes		Yes	1	1	1	1	3	1
383	X wants to know what activities Y likes to do during weekends.	Are you available this sunday evening?	I am available .	I might be pretty wiped out from my bike ride.	Probably no#Probably no#Probably no#Probably no#No	Probably no	No	2	2	2	2	2	2
384	X wants to know about Y's music preferences.	Are you into electronic music?	I am into electronic music .	When it's not too loud.	Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	3	3	3
385	X wants to know what sorts of books Y likes to read.	Are you into the classics?	I am into the classics .	There's a reason so many people have read them.	Probably yes / sometimes yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
386	Y has just told X that he/she is considering switching his/her job.	Do you like working with a large number of people?	I like working with a large number of people .	Small groups tend to work better for me.	No#No#No#Probably no#No	No	No	2	2	2	2	2	2
387	Y has just told X that he/she is considering switching his/her job.	Does it involve a lot of time at your desk?	It does involve a lot of time at my desk .	There's no need for me to go into the field.	Probably yes / sometimes yes#Yes#Yes#I am not sure how X will interpret Y’s answer#Yes	Yes	Yes	1	1	1	1	4	1
388	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Have you seen the old neighborhood?	I have seen the old neighborhood .	I drove through this morning.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
389	X wants to know about Y's music preferences.	Are you into country music?	I am into country music .	The lyrics in country music are annoying.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
390	X wants to know what sorts of books Y likes to read.	Have you heard of Tolkien?	I have heard of Tolkien .	I've read most of his work.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
391	X wants to know what sorts of books Y likes to read.	Have you read any of Jodi Piccolt's books?	I have read of Jodi Piccolt 's books .	I read one a while back.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
392	Y has just told X that he/she is considering switching his/her job.	Did you have a favorite teacher when you where in elementary school?	I did have a favorite teacher when I where in elementary school .	Mrs. Mitchell, probably.	Probably yes / sometimes yes#Yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
393	X wants to know what activities Y likes to do during weekends.	Are you into books?	I am into books .	I am a graphic novel nerd.	Yes#Yes, subject to some conditions#Yes#Yes, subject to some conditions#Yes	Yes	Yes	1	1	3	1	3	1
394	Y has just travelled from a different city to meet X.	Did you find my place OK?	I did find my place OK .	It's gorgeous.	Yes#Yes#In the middle, neither yes nor no#Yes#Yes	Yes	Yes	1	1	1	4	1	1
395	X wants to know what activities Y likes to do during weekends.	Have you gone out to eat recently?	I have gone out .	I went to a Thai place yesterday.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
396	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are you still interested in space?	I am interested in space .	I like to spread out.	Yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no#Yes		Yes	1	1	1	4	4	1
397	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Did you become a teacher?	I did become a teacher .	That didn't work out	No#No#No#No#No	No	No	2	2	2	2	2	2
398	Y has just told X that he/she is considering switching his/her job.	Is the new job offering you more money?	The new job is offering I more money .	They offered me a nice starting bonus.	Probably yes / sometimes yes#Yes#Yes#In the middle, neither yes nor no#Probably yes / sometimes yes		Yes	1	1	1	1	4	1
399	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you talk to any of our old friends?	I talk to of our old friends .	I keep up with many of them online.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
400	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Is this a fun neighbourhood?	This is a fun neighbourhood .	There are lots of bars and restaurants.	Yes#Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
401	X wants to know about Y's music preferences.	Do you listen to the radio much?	I listen to the radio much .	Only when I'm in the car.	Yes, subject to some conditions#Probably yes / sometimes yes#No#Yes, subject to some conditions#Probably yes / sometimes yes			6	3	1	2	3	1
402	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you work close?	I work close .	A few blocks away.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
403	X wants to know what sorts of books Y likes to read.	Do you enjoy horror?	I enjoy horror .	I prefer cookbooks.	Probably no#Probably no#No#Probably no#Probably no	Probably no	No	2	2	2	2	2	2
404	X wants to know what sorts of books Y likes to read.	Do you own an electronic reader?	I own an electronic reader .	I only read paper books.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
405	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have any plans for the weekend?	I have plans for the weekend .	My parents are visiting.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
406	Y has just told X that he/she is considering switching his/her job.	Are the people friendly?	The people am friendly .	My team are very friendly.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
407	X wants to know about Y's music preferences.	Are you into Thom Yorke?	I am into Thom Yorke .	I've never heard of him.	No#No#No#No#No	No	No	2	2	2	2	2	2
408	X wants to know what sorts of books Y likes to read.	Do you like fiction?	I like fiction .	that is my favorite type	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
409	X wants to know about Y's music preferences.	Do you have a CD collection?	I have a CD collection .	I sold it.	No#No#No#No#No	No	No	2	2	2	2	2	2
410	X and Y are colleagues who are leaving work on a Friday at the same time.	Are the two of you dating now?	The two of I am dating now .	We've been hanging out.	Yes#Probably yes / sometimes yes#In the middle, neither yes nor no#In the middle, neither yes nor no#Probably yes / sometimes yes		Yes	1	1	1	4	4	1
411	Y has just told X that he/she is thinking of buying a flat in New York.	Are you looking for an older building?	I am looking for an older building .	I'd prefer something built within the last few years.	No#No#Probably no#No#No	No	No	2	2	2	2	2	2
412	X wants to know what activities Y likes to do during weekends.	Do you like to run?	I like to run .	I have bad knees.	Probably no#No#No#Probably no#No	No	No	2	2	2	2	2	2
413	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Would you like to talk about sports?	I would like to talk about sports .	I don't really watch sports.	Probably no#Probably no#No#No#No	No	No	2	2	2	2	2	2
414	Y has just told X that he/she is thinking of buying a flat in New York.	Are you thinking of moving soon?	I am thinking of moving soon .	I don't like moving.	No#Probably no#Probably no#No#No	No	No	2	2	2	2	2	2
415	Y has just travelled from a different city to meet X.	Are you tired from your trip?	I am tired from my trip .	I'm a bit jet lagged.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
416	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you lived here very long?	I have lived here very long .	I'm just settling in this week.	No#No#No#No#No	No	No	2	2	2	2	2	2
417	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you need a ride?	I need a ride .	I would truly appreciate a lift.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
418	Y has just told X that he/she is considering switching his/her job.	Does your job involve customer service?	My job does involve customer service .	I interact with clients on a regular basis.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
419	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you want a lift home?	I want a lift home .	I'll take a taxi.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
420	X wants to know what activities Y likes to do during weekends.	Do you enjoy nature?	I enjoy nature .	I have so many allergies I have to enjoy it from behind a window.	Yes, subject to some conditions#No#Yes, subject to some conditions#Yes, subject to some conditions#No	Yes, subject to some conditions	Yes, subject to some conditions	3	3	2	3	3	2
421	X wants to know about Y's food preferences.	Do you like to eat spicy food ?	I like to eat spicy food .	I carry siracha with me everywhere I go!	Yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
422	Y has just told X that he/she is thinking of buying a flat in New York.	Are you looking for an older building?	I am looking for an older building .	It's not a priority.	In the middle, neither yes nor no#No#No#No#Probably no	No	No	2	4	2	2	2	2
423	X wants to know what activities Y likes to do during weekends.	Did you like my music CD?	I did like my music CD .	It was so good.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
424	Y has just told X that he/she is considering switching his/her job.	Do you want a new challenge?	I want a new challenge .	I feel like |I do	Yes#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes	Probably yes / sometimes yes	Yes	1	1	1	1	1	1
425	Y has just travelled from a different city to meet X.	Did you have a nice trip?	I did have a nice trip .	It was uneventful.	In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	4	4	4	4	4
426	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you have a family?	I have a family .	We have 3 kids.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
427	Y has just told X that he/she is thinking of buying a flat in New York.	Have you ever been to New York?	I have ever been to New York .	In the summer about a year ago I was there.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
428	X and Y are colleagues who are leaving work on a Friday at the same time.	Do you have family coming to visit?	I have family coming .	in a few weeks time	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
429	X wants to know about Y's music preferences.	Do you go to music festivals?	I go to music festivals .	I really enjoy going to festivals with many big time artists performing.	Yes#Yes, subject to some conditions#Yes#Yes, subject to some conditions#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	1	3	1	3	3
430	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	D you have plans for later?	I d have plans for later .	I'm taking a girl out to a movie.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
431	Y has just told X that he/she is thinking of buying a flat in New York.	Do you know how expensive NYC is?	I know how expensive NYC is .	It's one of the most expensive cities to live in.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
432	X wants to know what activities Y likes to do during weekends.	Do you like to be active during weekends?	I like to be active during weekends .	I lay around in bed every weekend.	No#No#No#No#No	No	No	2	2	2	2	2	2
433	X wants to know about Y's food preferences.	Want to try a trendy new place?	I want to try a trendy new place .	I like new places	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
434	X wants to know what activities Y likes to do during weekends.	Do you like watching movies at the cinema?	I like watching movies at the cinema .	I enjoyed watching the latest Star Wars film last weekend.	In the middle, neither yes nor no#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	4	1	1	1	1
435	X wants to know about Y's food preferences.	Did you like the food you tried when we last ate out?	I did like the food I tried when we last ate out .	That was really good.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
436	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have a lot of hobbies?	I have a lot of hobbies .	I prefer do stick to one thing I'm good at.	Probably no#No#No#No#No	No	No	2	2	2	2	2	2
437	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you like to garden?	I like to garden .	I like to grow vegetables.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
438	Y has just told X that he/she is considering switching his/her job.	Do you prefer a different career?	I prefer a different career .	I think I need to change fields.	Yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
439	Y has just told X that he/she is thinking of buying a flat in New York.	Would you like to live on a bus line?	I would like to live on a bus line .	I probably won't ride the bus, so it isn't necessary.	Probably no#No#In the middle, neither yes nor no#Probably no#Probably no	Probably no	No	2	2	2	4	2	2
440	Y has just told X that he/she is considering switching his/her job.	Have you grown tired of your work routine?	I have grown tired of my work routine .	I would enjoy a change.	Probably yes / sometimes yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
441	X and Y are colleagues who are leaving work on a Friday at the same time.	What are your plans for tonight?	I am my plans for tonight .	I'm going to catch up with my neighbors.	Other#In the middle, neither yes nor no#Yes#Other#Other	Other	Other	5	5	4	1	5	5
442	X wants to know about Y's music preferences.	Have you heard of Alt J?	I have heard of Alt J .	I don't know that.	No#No#No#No#No	No	No	2	2	2	2	2	2
443	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are you still in contact with the other neighbors?	I am in contact with the other neighbors .	I haven't met many neighbors.	Probably no#No#No#I am not sure how X will interpret Y’s answer#Probably no		No	2	2	2	2	4	2
444	X wants to know what sorts of books Y likes to read.	Are you into novels with a complicated plot?	I am into novels with a complicated plot .	I like a challenge.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
445	Y has just told X that he/she is considering switching his/her job.	Have you been looking for awhile?	I have been looking for awhile .	I only just started.	No#No#No#No#No	No	No	2	2	2	2	2	2
446	Y has just told X that he/she is considering switching his/her job.	Will the new job pay better?	The new job will pay better .	I'll earn a lot more	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
447	X wants to know about Y's food preferences.	Do you like food trucks?	I like food trucks .	Food trucks are the coolest invention.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
448	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do your parents live in town?	My parents live in town .	They live outside the country.	No#No#No#No#No	No	No	2	2	2	2	2	2
449	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you smoke a lot?	I smoke a lot .	I don't like smoking.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
450	Y has just told X that he/she is thinking of buying a flat in New York.	Do you have a neighborhood in mind?	I have a neighborhood in mind .	I'm thinking Dumbo.	Yes#Yes#I am not sure how X will interpret Y’s answer#Yes#Yes	Yes	Yes	1	1	1	4	1	1
451	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you still live on West End road?	I live on West End road .	My parents do, but I'm in the City.	No#No#No#No#No	No	No	2	2	2	2	2	2
452	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Are your mum and dad still alive ?	My mum and dad am alive .	They are in Florida.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
453	Y has just travelled from a different city to meet X.	Have you been enjoying your stay?	I have been enjoying my stay .	It has been too stressful.	No#No#No#No#No	No	No	2	2	2	2	2	2
454	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Would you be interested in a pool party?	I would be interested in a pool party .	We'd love to get together.	Yes#Yes#Yes#Probably yes / sometimes yes#Yes	Yes	Yes	1	1	1	1	1	1
455	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been a victim of crime here?	I have been a victim of crime here .	I've been fortunate.	No#No#No#No#No	No	No	2	2	2	2	2	2
456	X wants to know what sorts of books Y likes to read.	Would you go to Barnes & Nobles with me?	I would go to Barnes & Nobles with me .	Only if we can stay all day.	Yes, subject to some conditions#Yes, subject to some conditions#Yes#Yes#Yes, subject to some conditions	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	1	1	3
457	X wants to know what activities Y likes to do during weekends.	Are you into art and culture?	I am into art and culture .	I'm happiest in a museum or at the symphony.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
458	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you enjoy being back home?	I enjoy being back home .	It's a treat to live here again.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
459	Y has just told X that he/she is considering switching his/her job.	Is the new job offering you more money?	The new job is offering I more money .	I'll have a tiny bit more.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
460	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Do you have children	I have children .	I don't have any	No#No#No#No#No	No	No	2	2	2	2	2	2
